road,suburb,county,state_district,state,ISO3166-2-lvl4,postcode,country,country_code,city,neighbourhood,village,city_district,amenity,house_number,tourism,shop,man_made,town,healthcare,municipality,district,industrial,highway,building,residential,office,historic,railway,place
Grand Southern Trunk Road,Vandalur,Chengalpattu,Chengalpattu District,Tamil Nadu,IN-TN,603210,India,in,,,,,,,,,,,,,,,,,,,,,
Grand Southern Trunk Road,Vandalur,Chengalpattu,Chengalpattu District,Tamil Nadu,IN-TN,603210,India,in,,,,,,,,,,,,,,,,,,,,,
Grand Southern Trunk Road,Perungalathur,Tambaram,Chengalpattu District,Tamil Nadu,IN-TN,600045,India,in,Tambaram,,,,,,,,,,,,,,,,,,,,
Grand Southern Trunk Road,Perungalathur,Tambaram,Chengalpattu District,Tamil Nadu,IN-TN,600045,India,in,Tambaram,,,,,,,,,,,,,,,,,,,,
Grand Southern Trunk Road,Perungalathur,Tambaram,Chengalpattu District,Tamil Nadu,IN-TN,600045,India,in,Tambaram,,,,,,,,,,,,,,,,,,,,
Grand Southern Trunk Road,Perungalathur,Tambaram,Chengalpattu District,Tamil Nadu,IN-TN,600045,India,in,Tambaram,Peerkankaranai,,,,,,,,,,,,,,,,,,,
Perungalathur Maempalam,Perungalathur,Tambaram,Chengalpattu District,Tamil Nadu,IN-TN,600045,India,in,Tambaram,Peerkankaranai,,,,,,,,,,,,,,,,,,,
Grand Southern Trunk Road,Irumbuliyur,Tambaram,Chengalpattu District,Tamil Nadu,IN-TN,600045,India,in,Tambaram,Peerkankaranai,,,,,,,,,,,,,,,,,,,
Grand Southern Trunk Road,Irumbuliyur,Tambaram,Chengalpattu District,Tamil Nadu,IN-TN,600045,India,in,Tambaram,,,,,,,,,,,,,,,,,,,,
Grand Southern Trunk Road,Irumbuliyur,Tambaram,Chengalpattu District,Tamil Nadu,IN-TN,600045,India,in,Tambaram,,,,,,,,,,,,,,,,,,,,
Grand Southern Trunk Road,Irumbuliyur,Tambaram,Chengalpattu District,Tamil Nadu,IN-TN,600045,India,in,Tambaram,,,,,,,,,,,,,,,,,,,,
Grand Southern Trunk Road,East Tambaram,Tambaram,Chengalpattu District,Tamil Nadu,IN-TN,600059,India,in,Tambaram,,,,,,,,,,,,,,,,,,,,
Grand Southern Trunk Road,East Tambaram,Tambaram,Chengalpattu District,Tamil Nadu,IN-TN,600059,India,in,Tambaram,,,,,,,,,,,,,,,,,,,,
Grand Southern Trunk Road,East Tambaram,Tambaram,Chengalpattu District,Tamil Nadu,IN-TN,600059,India,in,Tambaram,,,,,,,,,,,,,,,,,,,,
Grand Southern Trunk Road,Chromepet,Pallavaram,Chengalpattu District,Tamil Nadu,IN-TN,600044,India,in,,,,,,,,,,,,,,,,,,,,,
Grand Southern Trunk Road,Vandalur,Chengalpattu,Chengalpattu District,Tamil Nadu,IN-TN,603210,India,in,,,,,,,,,,,,,,,,,,,,,
